Province_std,lat,lon
HUNG YEN,20.6464,106.0510
HA GIANG,22.8233,104.9836
SON LA,21.3256,103.9180
TUYEN QUANG,21.8197,105.9244
HA NOI,21.0278,105.8342
DIEN BIEN,21.3860,103.0230
HOA BINH,20.8106,105.3385
AN GIANG,10.3780,105.4352
BAC LIEU,9.2940,105.7240
LAI CHAU,22.3972,103.4589
BEN TRE,10.2424,106.3758
CA MAU,9.1527,105.1961
YEN BAI,21.7051,104.8668
VINH PHUC,21.3089,105.6049
CAO BANG,22.6657,106.2522
BAC NINH,21.1861,106.0760
THAI NGUYEN,21.5942,105.8480
BAC KAN,22.1470,105.8320
LANG SON,21.8450,106.7612
THAI BINH,20.4512,106.3423
HAI PHONG,20.8449,106.6881
BINH DUONG,10.9804,106.6519
NGHE AN,19.2342,104.9200
HA TINH,18.3559,105.8875
QUANG NAM,15.5749,108.4740
DONG THAP,10.4582,105.6324
HAU GIANG,9.7579,105.6410
KIEN GIANG,10.0125,105.0800
LONG AN,10.5354,106.4137
SOC TRANG,9.6020,105.9739
TIEN GIANG,10.3505,106.3410
TRA VINH,9.8128,106.2993
BAC GIANG,21.2810,106.2028
HA NAM,20.5411,105.9210
HAI DUONG,20.9374,106.3144
LAO CAI,22.4833,103.9460
NAM DINH,20.4333,106.1667
NINH BINH,20.2539,105.9745
PHU THO,21.4034,105.2302
QUANG NINH,21.0064,107.2925
THANH HOA,19.8067,105.7855
BINH DINH,13.7793,109.2194
GIA LAI,13.9833,108.0000
KHANH HOA,12.2570,109.0523
KON TUM,14.3490,108.0000
NINH THUAN,11.5675,108.9917
PHU YEN,13.0882,109.3100
QUANG BINH,17.5005,106.3336
QUANG NGAI,15.1153,108.8046
QUANG TRI,16.8181,107.1030
THUA THIEN HUE,16.4637,107.5909
DAK LAK,12.6620,108.0377
DAK NONG,11.9884,107.6082
DA NANG,16.0471,108.2061
VINH LONG,10.2537,105.9721
CAN THO,10.0389,105.7880
HO CHI MINH,10.8231,106.6297
BA RIA VUNG TAU,10.5417,107.2429
BINH PHUOC,11.7500,106.6667
BINH THUAN,11.0904,108.2000
LAM DONG,11.9465,108.4419
TAY NINH,11.3507,106.1056
DONG NAI,10.9430,106.8243
HUE,16.4637,107.5909